Order ID;E-mail;User ID;Total;Subtotal;Discount;Payment surcharge;Shipping cost;Date;Status;Notes;Payment ID;IP address;Details;Payment information;Taxes;Coupons;Shipping;First name;Last name;Company;Fax;Phone;Web site;Tax exempt;Language;Billing: first name;Billing: last name;Billing: address;Billing: address (line 2);Billing: city;Billing: state;Billing: country;Billing: zipcode;Shipping: first name;Shipping: last name;Shipping: address;Shipping: address (line 2);Shipping: city;Shipping: state;Shipping: country;Shipping: zipcode;Vendor
"28";"davdavid@example.com";"3";"917.99";"917.99";"0.00";"0.00";"0.00";"26 Sep 2013 08:01:09";"C";"";"1";"95.104.192.183";"";"";"";"";"[{""shipping_id"":""1"",""shipping"":""Custom shipping method"",""delivery_time"":""3-5 days"",""rate_calculation"":""M"",""service_params"":[],""destination"":""I"",""min_weight"":""0.00"",""max_weight"":""0.00"",""service_id"":""0"",""module"":"""",""service_code"":"""",""rate_info"":{""rate_id"":""55"",""rate_value"":{""C"":{""0"":{""amount"":""0"",""value"":""40"",""type"":""F"",""per_unit"":""N""},""30"":{""amount"":""30"",""value"":""10"",""type"":""F"",""per_unit"":""N""},""50"":{""amount"":""50"",""value"":""5"",""type"":""F"",""per_unit"":""N""}},""I"":{""0"":{""amount"":""0"",""value"":""23"",""type"":""F"",""per_unit"":""N""},""10"":{""amount"":""10"",""value"":""15"",""type"":""F"",""per_unit"":""N""}}}},""group_key"":""0"",""rate"":""28"",""group_name"":""Simtech""}]";"David";"Tenant";"";"";"55 55 555 5555";"";"N";"en";"David";"Tenant";"Glasgow, Lanarkshire G2 1DS";"";"Glasgow";"GLAS";"GB";"141 332";"David";"Tenant";"Glasgow, Lanarkshire G2 1DS";"";"Glasgow";"GLAS";"GB";"141 332";"Acme Corporation"
"29";"davdavid@example.com";"3";"529.99";"529.99";"0.00";"0.00";"0.00";"26 Sep 2013 21:22:20";"C";"";"2";"127.0.0.1";"";"";"";"";"[{""shipping_id"":""1"",""shipping"":""Custom shipping method"",""delivery_time"":""3-5 days"",""rate_calculation"":""M"",""service_params"":[],""destination"":""I"",""min_weight"":""0.00"",""max_weight"":""0.00"",""service_id"":""0"",""module"":"""",""service_code"":"""",""rate_info"":{""rate_id"":""55"",""rate_value"":{""C"":{""0"":{""amount"":""0"",""value"":""40"",""type"":""F"",""per_unit"":""N""},""30"":{""amount"":""30"",""value"":""10"",""type"":""F"",""per_unit"":""N""},""50"":{""amount"":""50"",""value"":""5"",""type"":""F"",""per_unit"":""N""}},""I"":{""0"":{""amount"":""0"",""value"":""23"",""type"":""F"",""per_unit"":""N""},""10"":{""amount"":""10"",""value"":""15"",""type"":""F"",""per_unit"":""N""}}}},""group_key"":""0"",""rate"":""28"",""group_name"":""Simtech""}]";"David";"Tenant";"";"";"";"";"N";"en";"David";"Tenant";"Glasgow, Lanarkshire G2 1DS";"";"Glasgow";"GLAS";"GB";"141 332";"David";"Tenant";"Glasgow, Lanarkshire G2 1DS";"";"Glasgow";"GLAS";"GB";"141 332";"Acme Corporation"
"35";"davdavid@example.com";"3";"25.00";"25.00";"0.00";"0.00";"0.00";"27 Sep 2013 18:39:55";"C";"";"3";"127.0.0.1";"";"";"";"";"[{""shipping_id"":""1"",""shipping"":""Custom shipping method"",""delivery_time"":""3-5 days"",""rate_calculation"":""M"",""service_params"":[],""destination"":""I"",""min_weight"":""0.00"",""max_weight"":""0.00"",""service_id"":""0"",""module"":"""",""service_code"":"""",""rate_info"":{""rate_id"":""55"",""rate_value"":{""C"":{""0"":{""amount"":""0"",""value"":""40"",""type"":""F"",""per_unit"":""N""},""30"":{""amount"":""30"",""value"":""10"",""type"":""F"",""per_unit"":""N""},""50"":{""amount"":""50"",""value"":""5"",""type"":""F"",""per_unit"":""N""}},""I"":{""0"":{""amount"":""0"",""value"":""23"",""type"":""F"",""per_unit"":""N""},""10"":{""amount"":""10"",""value"":""15"",""type"":""F"",""per_unit"":""N""}}}},""group_key"":""0"",""rate"":""28"",""group_name"":""Simtech""}]";"David";"Tenant";"";"";"";"";"N";"en";"David";"Tenant";"Glasgow, Lanarkshire G2 1DS";"";"Glasgow";"GLAS";"GB";"141 332";"David";"Tenant";"Glasgow, Lanarkshire G2 1DS";"";"Glasgow";"GLAS";"GB";"141 332";"Acme Corporation"
"36";"davdavid@example.com";"3";"12.99";"12.99";"0.00";"0.00";"0.00";"29 Sep 2013 10:18:52";"C";"";"2";"127.0.0.1";"";"";"";"";"[{""shipping_id"":""1"",""shipping"":""Custom shipping method"",""delivery_time"":""3-5 days"",""rate_calculation"":""M"",""service_params"":[],""destination"":""I"",""min_weight"":""0.00"",""max_weight"":""0.00"",""service_id"":""0"",""module"":"""",""service_code"":"""",""rate_info"":{""rate_id"":""55"",""rate_value"":{""C"":{""0"":{""amount"":""0"",""value"":""40"",""type"":""F"",""per_unit"":""N""},""30"":{""amount"":""30"",""value"":""10"",""type"":""F"",""per_unit"":""N""},""50"":{""amount"":""50"",""value"":""5"",""type"":""F"",""per_unit"":""N""}},""I"":{""0"":{""amount"":""0"",""value"":""23"",""type"":""F"",""per_unit"":""N""},""10"":{""amount"":""10"",""value"":""15"",""type"":""F"",""per_unit"":""N""}}}},""group_key"":""0"",""rate"":""28"",""group_name"":""Simtech""}]";"David";"Tenant";"";"";"";"";"N";"en";"David";"Tenant";"Glasgow, Lanarkshire G2 1DS";"";"Glasgow";"GLAS";"GB";"141 332";"David";"Tenant";"Glasgow, Lanarkshire G2 1DS";"";"Glasgow";"GLAS";"GB";"141 332";"Acme Corporation"
"37";"davdavid@example.com";"3";"39.99";"39.99";"0.00";"0.00";"0.00";"30 Sep 2013 08:38:05";"C";"";"1";"127.0.0.1";"";"";"";"";"[{""shipping_id"":""1"",""shipping"":""Custom shipping method"",""delivery_time"":""3-5 days"",""rate_calculation"":""M"",""service_params"":[],""destination"":""I"",""min_weight"":""0.00"",""max_weight"":""0.00"",""service_id"":""0"",""module"":"""",""service_code"":"""",""rate_info"":{""rate_id"":""55"",""rate_value"":{""C"":{""0"":{""amount"":""0"",""value"":""40"",""type"":""F"",""per_unit"":""N""},""30"":{""amount"":""30"",""value"":""10"",""type"":""F"",""per_unit"":""N""},""50"":{""amount"":""50"",""value"":""5"",""type"":""F"",""per_unit"":""N""}},""I"":{""0"":{""amount"":""0"",""value"":""23"",""type"":""F"",""per_unit"":""N""},""10"":{""amount"":""10"",""value"":""15"",""type"":""F"",""per_unit"":""N""}}}},""group_key"":""0"",""rate"":""28"",""group_name"":""Simtech""}]";"David";"Tenant";"";"";"";"";"N";"en";"David";"Tenant";"Glasgow, Lanarkshire G2 1DS";"";"Glasgow";"GLAS";"GB";"141 332";"David";"Tenant";"Glasgow, Lanarkshire G2 1DS";"";"Glasgow";"GLAS";"GB";"141 332";"Acme Corporation"
"38";"davdavid@example.com";"3";"200.00";"200.00";"0.00";"0.00";"0.00";"01 Oct 2013 08:14:21";"B";"";"2";"127.0.0.1";"";"";"";"";"[{""shipping_id"":""1"",""shipping"":""Custom shipping method"",""delivery_time"":""3-5 days"",""rate_calculation"":""M"",""service_params"":[],""destination"":""I"",""min_weight"":""0.00"",""max_weight"":""0.00"",""service_id"":""0"",""module"":"""",""service_code"":"""",""rate_info"":{""rate_id"":""55"",""rate_value"":{""C"":{""0"":{""amount"":""0"",""value"":""40"",""type"":""F"",""per_unit"":""N""},""30"":{""amount"":""30"",""value"":""10"",""type"":""F"",""per_unit"":""N""},""50"":{""amount"":""50"",""value"":""5"",""type"":""F"",""per_unit"":""N""}},""I"":{""0"":{""amount"":""0"",""value"":""23"",""type"":""F"",""per_unit"":""N""},""10"":{""amount"":""10"",""value"":""15"",""type"":""F"",""per_unit"":""N""}}}},""group_key"":""0"",""rate"":""28"",""group_name"":""Simtech""}]";"David";"Tenant";"";"";"";"";"N";"en";"David";"Tenant";"Glasgow, Lanarkshire G2 1DS";"";"Glasgow";"GLAS";"GB";"141 332";"David";"Tenant";"Glasgow, Lanarkshire G2 1DS";"";"Glasgow";"GLAS";"GB";"141 332";"Acme Corporation"
"39";"davdavid@example.com";"3";"249.00";"249.00";"0.00";"0.00";"0.00";"02 Oct 2013 10:05:15";"C";"";"2";"127.0.0.1";"";"";"";"";"[{""shipping_id"":""1"",""shipping"":""Custom shipping method"",""delivery_time"":""3-5 days"",""rate_calculation"":""M"",""service_params"":[],""destination"":""I"",""min_weight"":""0.00"",""max_weight"":""0.00"",""service_id"":""0"",""module"":"""",""service_code"":"""",""rate_info"":{""rate_id"":""55"",""rate_value"":{""C"":{""0"":{""amount"":""0"",""value"":""40"",""type"":""F"",""per_unit"":""N""},""30"":{""amount"":""30"",""value"":""10"",""type"":""F"",""per_unit"":""N""},""50"":{""amount"":""50"",""value"":""5"",""type"":""F"",""per_unit"":""N""}},""I"":{""0"":{""amount"":""0"",""value"":""23"",""type"":""F"",""per_unit"":""N""},""10"":{""amount"":""10"",""value"":""15"",""type"":""F"",""per_unit"":""N""}}}},""group_key"":""0"",""rate"":""28"",""group_name"":""Simtech""}]";"David";"Tenant";"";"";"";"";"N";"en";"David";"Tenant";"Glasgow, Lanarkshire G2 1DS";"";"Glasgow";"GLAS";"GB";"141 332";"David";"Tenant";"Glasgow, Lanarkshire G2 1DS";"";"Glasgow";"GLAS";"GB";"141 332";"Acme Corporation"
"40";"sebastian@example.com";"3";"299.99";"299.99";"0.00";"0.00";"0.00";"02 Oct 2013 23:12:36";"C";"";"1";"127.0.0.1";"";"";"";"";"[{""shipping_id"":""1"",""shipping"":""Custom shipping method"",""delivery_time"":""3-5 days"",""rate_calculation"":""M"",""service_params"":[],""destination"":""I"",""min_weight"":""0.00"",""max_weight"":""0.00"",""service_id"":""0"",""module"":"""",""service_code"":"""",""rate_info"":{""rate_id"":""55"",""rate_value"":{""C"":{""0"":{""amount"":""0"",""value"":""40"",""type"":""F"",""per_unit"":""N""},""30"":{""amount"":""30"",""value"":""10"",""type"":""F"",""per_unit"":""N""},""50"":{""amount"":""50"",""value"":""5"",""type"":""F"",""per_unit"":""N""}},""I"":{""0"":{""amount"":""0"",""value"":""23"",""type"":""F"",""per_unit"":""N""},""10"":{""amount"":""10"",""value"":""15"",""type"":""F"",""per_unit"":""N""}}}},""group_key"":""0"",""rate"":""28"",""group_name"":""Simtech""}]";"Sergey";"Maxeev";"";"";"+79235456683";"";"N";"en";"Sergey";"Maxeev";"Moskovskaya street, 65-12";"";"Moscow";"MOS";"RU";"657849";"Sergey";"Maxeev";"Moskovskaya street, 65-12";"";"Moscow";"MOS";"RU";"657849";"Acme Corporation"
"41";"sebastian@example.com";"3";"100.00";"100.00";"0.00";"0.00";"0.00";"03 Oct 2013 22:33:22";"C";"";"2";"127.0.0.1";"";"";"";"";"[{""shipping_id"":""1"",""shipping"":""Custom shipping method"",""delivery_time"":""3-5 days"",""rate_calculation"":""M"",""service_params"":[],""destination"":""I"",""min_weight"":""0.00"",""max_weight"":""0.00"",""service_id"":""0"",""module"":"""",""service_code"":"""",""rate_info"":{""rate_id"":""55"",""rate_value"":{""C"":{""0"":{""amount"":""0"",""value"":""40"",""type"":""F"",""per_unit"":""N""},""30"":{""amount"":""30"",""value"":""10"",""type"":""F"",""per_unit"":""N""},""50"":{""amount"":""50"",""value"":""5"",""type"":""F"",""per_unit"":""N""}},""I"":{""0"":{""amount"":""0"",""value"":""23"",""type"":""F"",""per_unit"":""N""},""10"":{""amount"":""10"",""value"":""15"",""type"":""F"",""per_unit"":""N""}}}},""group_key"":""0"",""rate"":""28"",""group_name"":""Simtech""}]";"Sergey";"Maxeev";"";"";"+79235456683";"";"N";"en";"Sergey";"Maxeev";"Moskovskaya street, 65-12";"";"Moscow";"MOS";"RU";"657849";"Sergey";"Maxeev";"Moskovskaya street, 65-12";"";"Moscow";"MOS";"RU";"657849";"Acme Corporation"
"42";"sebastian@example.com";"3";"59.99";"59.99";"0.00";"0.00";"0.00";"05 Oct 2013 10:48:52";"C";"";"2";"127.0.0.1";"";"";"";"";"[{""shipping_id"":""1"",""shipping"":""Custom shipping method"",""delivery_time"":""3-5 days"",""rate_calculation"":""M"",""service_params"":[],""destination"":""I"",""min_weight"":""0.00"",""max_weight"":""0.00"",""service_id"":""0"",""module"":"""",""service_code"":"""",""rate_info"":{""rate_id"":""55"",""rate_value"":{""C"":{""0"":{""amount"":""0"",""value"":""40"",""type"":""F"",""per_unit"":""N""},""30"":{""amount"":""30"",""value"":""10"",""type"":""F"",""per_unit"":""N""},""50"":{""amount"":""50"",""value"":""5"",""type"":""F"",""per_unit"":""N""}},""I"":{""0"":{""amount"":""0"",""value"":""23"",""type"":""F"",""per_unit"":""N""},""10"":{""amount"":""10"",""value"":""15"",""type"":""F"",""per_unit"":""N""}}}},""group_key"":""0"",""rate"":""28"",""group_name"":""Simtech""}]";"Sergey";"Maxeev";"";"";"+79235456683";"";"N";"en";"Sergey";"Maxeev";"Moskovskaya street, 65-12";"";"Moscow";"MOS";"RU";"657849";"Sergey";"Maxeev";"Moskovskaya street, 65-12";"";"Moscow";"MOS";"RU";"657849";"Acme Corporation"
